river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Coyote Wash (California),Coyote Wash (California)_2,Coyote Wash eventually sinks into the sands just below sea level in which desert region?,Yuha Desert,Mojave Desert,Colorado Desert,Anza-Borrego Desert,Sonoran Desert,0
Crab Brook,Crab Brook_1,Crab Brook is a tributary of which larger river system?,Stony Brook,Delaware River,Raritan River,Hudson River,Passaic River,0
Crab Brook,Crab Brook_2,In which U.S. state is Crab Brook located?,Pennsylvania,New Jersey,New York,Delaware,Maryland,1
Crab Creek,Crab Creek_1,What is the approximate distance east of Reardan where Crab Creek originates?,5 km (3.1 mi),"13,200 km (8,190 mi)",262 km (163 mi),"5,097 km (3,167 mi)",3.1 km (5 mi),0
Crab Creek,Crab Creek_2,"What is the total area, in square miles, of the watershed drained by Crab Creek?","13,200 sq mi","3,167 sq mi","5,097 sq mi","8,190 sq mi",262 sq mi,2
Crab Run (Mahanoy Creek tributary),Crab Run (Mahanoy Creek tributary)_1,"Despite being listed as impaired by abandoned mine drainage, what specific environmental factor is stated to impact some stream reaches within Crab Run's watershed?",Agricultural impacts,Industrial discharge,Urban runoff,Logging operations,Atmospheric deposition,0
Crab Run (Mahanoy Creek tributary),Crab Run (Mahanoy Creek tributary)_2,What is the approximate total watershed area of Crab Run in square miles?,2.5 sq mi,3.0 sq mi,3.50 sq mi,4.0 sq mi,9.1 sq mi,2
Crab Run (West Virginia),Crab Run (West Virginia)_1,Crab Run is a tributary to which larger river system?,South Fork Hughes River,North Fork Hughes River,Little Kanawha River,Ohio River,Monongahela River,0
Crab Run (West Virginia),Crab Run (West Virginia)_2,In which West Virginia county is Crab Run exclusively located?,Ritchie County,Wood County,Pleasants County,Doddridge County,Harrison County,0
Crabtree Creek (Neuse River tributary),Crabtree Creek (Neuse River tributary)_1,Crabtree Creek originates in which municipality before flowing through other areas of Wake County?,Cary,Morrisville,Raleigh,Anderson Point,William B. Umstead State Park,0
Crabtree Creek (Neuse River tributary),Crabtree Creek (Neuse River tributary)_2,Crabtree Creek empties into the Neuse River at which specific park located in East Raleigh?,Anderson Point Park,William B. Umstead State Park,Neuse River Park,Crabtree Creek Park,Wake County Park,0
Crabtree Creek (South Santiam River tributary),Crabtree Creek (South Santiam River tributary)_1,Approximately how far upstream from the confluence of the South Santiam and North Santiam Rivers does Crabtree Creek join the South Santiam River?,3 miles (5 km),8 miles (13 km),5 miles (8 km),13 miles (21 km),10 miles (16 km),0
Crabtree Creek (South Santiam River tributary),Crabtree Creek (South Santiam River tributary)_2,What is the approximate distance from Crabtree Creek's mouth to where Oregon Route 226 crosses it?,8 miles (13 km),3 miles (5 km),5 miles (8 km),13 miles (21 km),16 miles (26 km),0
Craig River,Craig River_1,What is the approximate percentage of the Craig River's watershed covered by snow/glacier and conifer forest combined?,60.7%,47.9%,30.4%,73.7%,30.3%,0
Craig River,Craig River_2,What is the mean annual discharge of the Craig River in cubic meters per second?,737 m3/s,285 m3/s,69.3 m3/s,50 m3/s,"2,450 m3/s",2
Cranberry Creek (Stony Creek tributary),Cranberry Creek (Stony Creek tributary)_1,What is the approximate length of Cranberry Creek in miles?,4.4 miles,7.1 miles,3.0 miles,5.8 miles,11.5 miles,0
Cranberry Creek (Stony Creek tributary),Cranberry Creek (Stony Creek tributary)_2,Which of the following metals is NOT explicitly mentioned as being present in Cranberry Creek?,Iron,Lead,Manganese,Aluminum,Iron and Manganese,1
Cranberry River (Massachusetts),Cranberry River (Massachusetts)_1,What is the total length of the Cranberry River in miles?,3.7 miles,6.0 miles,3.0 miles,7.0 miles,3.7 kilometers,0
Cranberry River (Massachusetts),Cranberry River (Massachusetts)_2,The Cranberry River originates in which specific pond?,Sevenmile Pond,Chicopee Pond,Cranberry Meadow Pond,Spencer Pond,Massachusetts Pond,2
Cranberry River (Michigan),Cranberry River (Michigan)_1,What is the precise length of the Cranberry River in miles?,20.0 miles,20.5 miles,19.5 miles,21.0 miles,32.2 miles,0
Cranberry River (Michigan),Cranberry River (Michigan)_2,The Cranberry River is a tributary of which major North American body of water?,Lake Michigan,Lake Huron,Lake Superior,Lake Erie,Lake Ontario,2
Cranberry River (West Virginia),Cranberry River (West Virginia)_1,What is the approximate drainage area of the Cranberry River in square miles?,74 square miles,192 square miles,74 km2,192 km2,60 square miles,0
Cranberry River (West Virginia),Cranberry River (West Virginia)_2,Through which sequence of major rivers does the Cranberry River ultimately contribute to the Mississippi River watershed?,"Gauley, Kanawha, Ohio","Ohio, Kanawha, Gauley","Kanawha, Ohio, Gauley","Gauley, Ohio, Kanawha","Mississippi, Ohio, Kanawha",0
Cranberry Run,Cranberry Run_1,What is the approximate length of Cranberry Run in miles?,2.0 miles,1.83 miles,3.2 miles,4.7 miles,2.5 miles,0
Cranberry Run,Cranberry Run_2,Which of the following rock formations is NOT listed as a primary component of Cranberry Run's watershed?,Mauch Chunk Formation,Pocono Formation,Catskill Formation,Leck Kill Formation,None of the above,2
Cranbury Brook,Cranbury Brook_1,Cranbury Brook is a tributary to which larger river system?,Millstone River,Raritan River,Delaware River,Hudson River,Passaic River,0
Cranbury Brook,Cranbury Brook_2,In which two New Jersey counties does Cranbury Brook primarily flow?,Middlesex and Monmouth Counties,Mercer and Burlington Counties,Somerset and Hunterdon Counties,Union and Essex Counties,Ocean and Atlantic Counties,0
Crane Brook,Crane Brook_1,Crane Brook empties into which major river system?,Seneca River,Mohawk River,Hudson River,Genesee River,Oswego River,0
Crane Brook,Crane Brook_2,Near which New York town does Crane Brook converge with the Seneca River?,Montezuma,Geneva,Waterloo,Seneca Falls,Auburn,0
Crane Creek (California),Crane Creek (California)_1,Crane Creek originates in which mountain range?,Sonoma Mountains,Santa Cruz Mountains,San Gabriel Mountains,Sierra Nevada Mountains,Coast Ranges,0
Crane Creek (California),Crane Creek (California)_2,Crane Creek merges with which other creek before reaching its final discharge point?,Hinebaugh Creek,Laguna Creek,Petaluma Creek,Sonoma Creek,Napa Creek,0
Crane Creek (James River tributary),Crane Creek (James River tributary)_1,What is the approximate distance in miles from Crane Creek's headwaters to its confluence with the James River?,23.2 miles,37.3 miles,25.0 miles,20.7 miles,1.0 mile,0
Crane Creek (James River tributary),Crane Creek (James River tributary)_2,"Crane Creek is a tributary of which major river system, and what drainage basin does it belong to?","Missouri River, White River drainage basin","James River, Missouri River drainage basin","White River, James River drainage basin","James River, White River drainage basin","Mississippi River, James River drainage basin",3
Crane Creek (Little River tributary),Crane Creek (Little River tributary)_1,What is the precise length of Crane Creek in miles?,23.41 miles,37.67 miles,4th order miles,Little River miles,Moore County miles,0
Crane Creek (Little River tributary),Crane Creek (Little River tributary)_2,Crane Creek is classified as which order of stream?,2nd order,3rd order,4th order,5th order,6th order,2
"Crane Creek (Melbourne, Florida)","Crane Creek (Melbourne, Florida)_1",What is the approximate length of Crane Creek in kilometers?,5.3 km,3.3 km,4.5 km,6.1 km,3.3 miles,0
"Crane Creek (Melbourne, Florida)","Crane Creek (Melbourne, Florida)_2",Crane Creek is a tributary to which larger body of water?,Indian River,Atlantic Ocean,St. Johns River,Lake Okeechobee,Melbourne Bay,0
Crane Creek (Mohawk River tributary),Crane Creek (Mohawk River tributary)_1,Crane Creek is a tributary to which major river system?,Mohawk River,Hudson River,St. Lawrence River,Genesee River,Allegheny River,0
Crane Creek (Mohawk River tributary),Crane Creek (Mohawk River tributary)_2,In which specific New York location does Crane Creek merge with its receiving river?,Oriskany,Rome,Utica,Schenectady,Albany,0
Cranes Branch (Brown Creek tributary),Cranes Branch (Brown Creek tributary)_1,What percentage of the Cranes Branch watershed is comprised of agricultural land use?,36%,58%,42%,64%,50%,0
Cranes Branch (Brown Creek tributary),Cranes Branch (Brown Creek tributary)_2,Cranes Branch is a tributary to which larger creek?,Polkton Creek,Brown Creek,Anson Creek,North Creek,Forest Creek,1
Cranes Nest River,Cranes Nest River_1,What is the Cranes Nest River's approximate length in kilometers?,40.2 km,25.0 km,40.0 km,25.2 km,40.5 km,0
Cranes Nest River,Cranes Nest River_2,In which U.S. state is the Cranes Nest River located?,Pennsylvania,West Virginia,Virginia,Kentucky,North Carolina,2
Craven Creek,Craven Creek_1,Craven Creek is located in which U.S. state?,South Dakota,North Dakota,Montana,Wyoming,Nebraska,0
Craven Creek,Craven Creek_2,The naming of Craven Creek is attributed to which profession?,Cattleman,Miner,Farmer,Rancher,Prospector,0
Crawfish Creek (Wyoming),Crawfish Creek (Wyoming)_1,"What is the typical summer pH range of Crawfish Creek, and what does this indicate about its water chemistry?","Approximately 9.1, indicating alkaline conditions","Approximately 7.0, indicating neutral conditions","Approximately 6.5, indicating slightly acidic conditions","Approximately 8.5, indicating moderately alkaline conditions","Approximately 7.5, indicating slightly alkaline conditions",0
Crawfish Creek (Wyoming),Crawfish Creek (Wyoming)_2,"Considering the proximity of Moose Falls to the confluence, what is the approximate distance upstream from the point where Crawfish Creek joins the Lewis River to the base of the falls?",75 yards (69 m),30 feet (9.1 m),75 feet (22.9 m),69 yards (63.1 m),9.1 yards (8.3 m),0
Crawfish River,Crawfish River_1,What is the stated length of the Crawfish River in miles?,80 miles,130 miles,70 miles,90 miles,100 miles,0
Crawfish River,Crawfish River_2,The Crawfish River is a tributary of which larger river system?,Mississippi River,Rock River,Wisconsin River,Illinois River,Ohio River,1
Crawford Run (Youghiogheny River tributary),Crawford Run (Youghiogheny River tributary)_1,What is the approximate length of Crawford Run in kilometers?,4.51 km,2.80 km,5.20 km,3.90 km,4.00 km,0
Crawford Run (Youghiogheny River tributary),Crawford Run (Youghiogheny River tributary)_2,Crawford Run is a tributary to which larger river system?,Youghiogheny River,Allegheny River,Monongahela River,Ohio River,Susquehanna River,0
Crazy Creek,Crazy Creek_1,In which U.S. county is Crazy Creek located?,Beaver County,Iron County,Millard County,Garfield County,Washington County,0
Crazy Creek,Crazy Creek_2,What are the two proposed origins for the name 'Crazy Creek'?,Its irregular course or a pioneer's odd behavior,Its swift currents or the color of its water,Its proximity to a geological formation or a historical battle,The abundance of wildlife or a local legend,Its meandering path through a canyon or a miner's discovery,0
Crazy Hole Creek,Crazy Hole Creek_1,What is the state in which Crazy Hole Creek is located?,South Dakota,North Dakota,Montana,Wyoming,Nebraska,0
Crazy Hole Creek,Crazy Hole Creek_2,"According to the Federal Writers' Project, what is the status of the origin of Crazy Hole Creek's name?",Obscure,Well-documented,Contested,Lost to history,Recently discovered,0
Crazy Woman Creek,Crazy Woman Creek_1,What is the FAA three-letter station designator for the VOR navigation beacon named after Crazy Woman Creek?,CZI,CZN,CZY,CRI,CWI,0
Crazy Woman Creek,Crazy Woman Creek_2,Approximately how far southeast of Crazy Woman Creek is the FAA-operated VOR navigation beacon located?,Seven miles,Twelve miles,Seven kilometers,Twelve kilometers,Twenty miles,0
Creasy Creek,Creasy Creek_1,What is the approximate watershed area of Creasy Creek in square miles?,7.25 square miles,4.7 square miles,18.8 square miles,7.6 square miles,7.2 square miles,0
Creasy Creek,Creasy Creek_2,"Creasy Creek is classified as a High-Quality Coldwater Fishery, but what was its classification in the past?",Coldwater Fishery,Class A Wild Trout Waters,High-Quality Coldwater Fishery,Trout Fishery,Alkaline Fishery,0
Credit River (Minnesota),Credit River (Minnesota)_1,What was the primary reason the Credit River was designated as impaired in 2002?,Excess turbidity,Low dissolved oxygen levels,High levels of agricultural runoff,Presence of invasive aquatic species,Elevated water temperature,0
Credit River (Minnesota),Credit River (Minnesota)_2,Approximately how far south-southwest of downtown Minneapolis does the Credit River empty into the Minnesota River?,14 miles,22 miles,35 miles,46 miles,120 miles,0
Creighton River,Creighton River_1,What is the precise length of the Creighton River in miles?,23.3 miles,37.5 miles,23.3 kilometers,37.5 kilometers,23.5 miles,0
Creighton River,Creighton River_2,The Creighton River is a tributary of which larger river system?,West Branch Manistique River,East Branch Manistique River,Upper Peninsula River,Michigan River System,Creighton River System,0
Crescent Creek,Crescent Creek_1,"What is the average highest discharge of Crescent Creek in August, as measured at the outlet of Crescent Lake?",140 cubic feet per second (4.0 m3/s),10 cubic feet per second (0.28 m3/s),16 kilometers,48 km,19 km,0
Crescent Creek,Crescent Creek_2,In what year was a 10-mile stretch of Crescent Creek designated as part of the National Wild and Scenic Rivers System?,1988,1978,1998,1980,1990,0
Crescent River (Georgia),Crescent River (Georgia)_1,What is the approximate length of the Crescent River in kilometers?,8.7 km,5.4 km,10.2 km,7.5 km,9.1 km,0
Crescent River (Georgia),Crescent River (Georgia)_2,The Crescent River terminates at a junction where it meets the Mud River flowing northeast into Sapelo Sound and Old Teakettle Creek flowing south to Doboy Sound. What is the direction of flow for the Mud River at this junction?,Northeast,Southeast,South,Northwest,Southwest,0
Cresheim Creek,Cresheim Creek_1,What is the approximate length of Cresheim Creek in miles?,2.7 miles,4.3 miles,6 miles,2.0 miles,3.5 miles,0
Cresheim Creek,Cresheim Creek_2,Cresheim Creek forms a boundary between which two distinct areas in Northwest Philadelphia?,Mount Airy and Chestnut Hill,Wyndmoor and Springfield Township,Germantown and Valley Green,Devil's Pool and Fairmount Park,Stenton Avenue and Emlen Street,0
Cribs Creek,Cribs Creek_1,What is the order of Cribs Creek within the United States stream network?,2nd order,1st order,3rd order,4th order,5th order,0
Cribs Creek,Cribs Creek_2,Cribs Creek is a tributary to which larger river system?,Rocky River,Anson River,Creek River,North River,South River,0
Cripple Creek (Colorado),Cripple Creek (Colorado)_1,"What significant geological feature's outflow does Cripple Creek receive, impacting the regional water table?",The Roosevelt Tunnel,The Cripple Creek Mine Shaft,The Pikes Peak Aquifer,The Gold King Drainage System,The Colorado River Diversion,0
Cripple Creek (Colorado),Cripple Creek (Colorado)_2,By approximately how many feet did the Roosevelt Tunnel lower the water table throughout the Cripple Creek gold mining district?,"1,500 feet",500 feet,"2,500 feet","1,000 feet","2,000 feet",0
Cripple Creek (New York),Cripple Creek (New York)_1,Which two counties does Cripple Creek traverse?,Herkimer County and Otsego County,Herkimer County and Montgomery County,Otsego County and Madison County,Chenango County and Herkimer County,Otsego County and Fulton County,0
Cripple Creek (New York),Cripple Creek (New York)_2,What was the former name of Cripple Creek?,Lawyers Creek,Weaver Creek,Young Creek,Otsego Creek,Springfield Creek,0
Cripple Creek (Virginia),Cripple Creek (Virginia)_1,In which country is Cripple Creek (Virginia) located?,United States,Canada,Mexico,United Kingdom,Australia,0
Cripple Creek (Virginia),Cripple Creek (Virginia)_2,What is the primary geographical designation of Cripple Creek?,River,Lake,Ocean,Bay,Canal,0
Cripplebush Creek,Cripplebush Creek_1,Cripplebush Creek is a tributary to which larger waterway?,Schoharie Creek,Mohawk River,Hudson River,Susquehanna River,Chenango River,0
Cripplebush Creek,Cripplebush Creek_2,North of which New York settlement does Cripplebush Creek join its receiving river?,Central Bridge,Schenectady,Albany,Kingston,Utica,0
Crisco Branch,Crisco Branch_1,What is the approximate length of Crisco Branch in miles?,3.67 mi,5.91 mi,3.00 mi,4.00 mi,5.00 mi,0
Crisco Branch,Crisco Branch_2,Crisco Branch is a tributary of which larger river?,Rocky River,Union River,Branch River,Crisco River,North River,0
Cristianitos Creek,Cristianitos Creek_1,What is the elevation difference between the source of Cristianitos Creek and its confluence with San Mateo Creek?,725 feet,800 feet,75 feet,875 feet,650 feet,0
Cristianitos Creek,Cristianitos Creek_2,"Considering the two major tributaries, which one contributes water at a higher elevation where it joins Cristianitos Creek?","The first tributary, at 301 feet","The second tributary, at 177 feet","The first tributary, at 1840 feet","The second tributary, at 2000 feet","The second tributary, at 177 feet",1
Cristianitos Creek,Cristianitos Creek_1,What is the elevation difference between the source of Cristianitos Creek and its confluence with San Mateo Creek?,725 feet,800 feet,75 feet,1765 feet,1840 feet,0
Cristianitos Creek,Cristianitos Creek_2,"Considering the two major tributaries, what is the maximum elevation difference between the source of a tributary and its confluence with Cristianitos Creek?",1765 feet,1539 feet,1925 feet,1840 feet,2000 feet,0
Crocodile River (Minnesota),Crocodile River (Minnesota)_1,What is the primary geographical region where the Crocodile River is located?,Boundary Water Canoe Area,Voyageurs National Park,Superior National Forest,Isle Royale National Park,Chippewa National Forest,0
Crocodile River (Minnesota),Crocodile River (Minnesota)_2,Which specific county in Minnesota is home to the Crocodile River?,St. Louis County,Lake County,Cook County,Itasca County,Aitkin County,2
Crony Pond Branch,Crony Pond Branch_1,What is the approximate length of Crony Pond Branch in kilometers?,2.32 km,1.44 km,3.76 km,2.30 km,1.40 km,0
Crony Pond Branch,Crony Pond Branch_2,Crony Pond Branch is classified as which order tributary?,1st order,2nd order,3rd order,0th order,4th order,0
Crooked Creek (Allegheny River tributary),Crooked Creek (Allegheny River tributary)_1,Which of the following covered bridges crosses Crooked Creek directly in Armstrong County?,Thomas Covered Bridge,Harmon's Covered Bridge,Trusal Covered Bridge,Allegheny Covered Bridge,Plum Creek Covered Bridge,0
Crooked Creek (Allegheny River tributary),Crooked Creek (Allegheny River tributary)_2,"Crooked Creek's tributaries, Plum Creek and South Branch Plum Creek, are located within which township?",Armstrong Township,Washington Township,Indiana Township,Allegheny Township,Plum Township,1
"Crooked Creek (Houston County, Minnesota)","Crooked Creek (Houston County, Minnesota)_1",What is the primary geographical characteristic that led to Crooked Creek being named as such?,Its irregular course,Its rapid flow rate,Its shallow depth,Its meandering path through a valley,Its proximity to a specific geological formation,0
"Crooked Creek (Houston County, Minnesota)","Crooked Creek (Houston County, Minnesota)_2",In which U.S. state is Crooked Creek located?,Wisconsin,Minnesota,Iowa,North Dakota,South Dakota,1
Crooked Creek (Illinois),Crooked Creek (Illinois)_1,Crooked Creek serves as a border between which two counties after its initial flow?,Clinton County and Washington County,Marion County and Clinton County,Washington County and Marion County,Randolph County and Monroe County,St. Clair County and Madison County,0
Crooked Creek (Illinois),Crooked Creek (Illinois)_2,Which two reservoirs directly contribute their discharges to Crooked Creek?,Lake Centralia and Raccoon Lake,Lake Springfield and Clinton Lake,Raccoon Lake and Carlyle Lake,Lake Centralia and Rend Lake,Clinton Lake and Lake Shelbyville,0
Crooked Creek (Kitchen Creek tributary),Crooked Creek (Kitchen Creek tributary)_1,What is the approximate watershed area of Crooked Creek in square miles?,1.20 square miles,1.8 square miles,2.9 square miles,3.1 square miles,1.0 square mile,0
Crooked Creek (Kitchen Creek tributary),Crooked Creek (Kitchen Creek tributary)_2,"Crooked Creek is classified as what type of water body, indicating its suitability for trout populations?",Class A Wild Trout Waters,Class B Cold Water Fishery,Class C High Quality Waters,Class A Migratory Fish Waters,Class B Wild Trout Waters,0
Crooked Creek (Mississippi River tributary),Crooked Creek (Mississippi River tributary)_1,What is the approximate length of Crooked Creek in kilometers?,15.9 km,9.9 km,16.5 km,15.0 km,9.9 miles,0
Crooked Creek (Mississippi River tributary),Crooked Creek (Mississippi River tributary)_2,Crooked Creek is a tributary of which major river system?,Mississippi River,Missouri River,Ohio River,Red River,Minnesota River,0
Crooked Creek (Oregon),Crooked Creek (Oregon)_1,What is the approximate difference in elevation between the source and mouth of Crooked Creek?,578 feet (176 m),600 feet (183 m),580 feet (177 m),570 feet (174 m),590 feet (180 m),0
Crooked Creek (Oregon),Crooked Creek (Oregon)_2,"If Crooked Creek's watershed were a perfect rectangle with a length of 40 miles, what would its approximate width be in miles?",33.5 miles,32.5 miles,34.5 miles,35.5 miles,31.5 miles,0
Crooked Creek (Rocky River tributary),Crooked Creek (Rocky River tributary)_1,What is the order of Crooked Creek as a tributary to the Rocky River?,3rd order,1st order,2nd order,4th order,5th order,0
Crooked Creek (Rocky River tributary),Crooked Creek (Rocky River tributary)_2,Crooked Creek is a tributary to which larger river system?,Rocky River,Union River,Creek River,North River,South River,0
"Crooked Creek (Summit County, Utah)","Crooked Creek (Summit County, Utah)_1",What is the primary geographical feature that led to Crooked Creek being named as such?,Its meandering course,Its rapid flow rate,Its deep canyon walls,Its proximity to a mountain range,Its narrow width,0
"Crooked Creek (Summit County, Utah)","Crooked Creek (Summit County, Utah)_2",In which specific county within Utah is Crooked Creek located?,Wasatch County,Summit County,Duchesne County,Salt Lake County,Utah County,1
Crooked Creek (Tioga River tributary),Crooked Creek (Tioga River tributary)_1,What is the approximate length of Crooked Creek in kilometers?,42.3 km,26.3 km,42.3 miles,26.3 miles,42.0 km,0
Crooked Creek (Tioga River tributary),Crooked Creek (Tioga River tributary)_2,Crooked Creek is a tributary of which larger river?,Tioga River,Susquehanna River,Allegheny River,Ohio River,Delaware River,0
Crooked Fork (Aarons Creek tributary),Crooked Fork (Aarons Creek tributary)_1,What is the approximate length of Crooked Fork in kilometers?,8.74 km,5.43 km,14.17 km,8.7 km,5.4 km,0
Crooked Fork (Aarons Creek tributary),Crooked Fork (Aarons Creek tributary)_2,Crooked Fork is classified as which order tributary to Aarons Creek?,2nd order,1st order,3rd order,4th order,5th order,0
Crooked River (Florida),Crooked River (Florida)_1,What is the approximate straight-line distance between the two ends of the Crooked River in Florida?,24 kilometers,41 kilometers,15 miles,25 miles,30 kilometers,0
Crooked River (Florida),Crooked River (Florida)_2,"According to G.H. Dury's description, what geographical feature does the Crooked River separate?",St. James Island from the mainland,The Ochlockonee River from the Carrabelle River,Franklin County from the mainland,The estuary from the town of Carrabelle,The New River from the Ochlockonee River,0
Crooked River (Georgia),Crooked River (Georgia)_1,What is the approximate length of the Crooked River in miles?,26.8 miles,43.1 miles,20.5 miles,30.2 miles,15.9 miles,0
Crooked River (Georgia),Crooked River (Georgia)_2,Which geographical feature lies to the north of the Crooked River's main channel?,Grover Island,Crooked River State Park,Kings Bay Naval Submarine Base,Cumberland River,Saltmarsh,0
Crooked River (Machias River tributary),Crooked River (Machias River tributary)_1,What is the approximate distance the Crooked River flows southeast from its source before changing direction?,5 miles (8 km),11.7 miles (18.8 km),Approximately 6 miles (9.7 km),About 4 miles (6.4 km),The initial southeast flow is not specified.,0
Crooked River (Machias River tributary),Crooked River (Machias River tributary)_2,The Crooked River's confluence is with which larger river system?,Machias River,Penobscot River,Kennebec River,St. John River,A tributary of the Penobscot River,0
Crooked River (Michigan),Crooked River (Michigan)_1,What is the approximate distance in miles between the Crooked River's source at Crooked Lake and its confluence with Burt Lake?,5.6 miles,9.0 miles,45.4 miles,84.7 miles,5.0 miles,0
Crooked River (Michigan),Crooked River (Michigan)_2,The Crooked River flows northeast from Crooked Lake into which larger body of water?,Lake Michigan,Burt Lake,Crooked Lake,Lake Huron,Lake Superior,1
Crooked River (Oregon),Crooked River (Oregon)_1,What is the total length of the Crooked River in miles?,125 miles,201 miles,100 miles,150 miles,201 km,0
Crooked River (Oregon),Crooked River (Oregon)_2,Which river is the Crooked River a tributary of?,Columbia River,Beaver Creek,South Fork Crooked River,Deschutes River,Oregon River,3
Crooked River (Songo River tributary),Crooked River (Songo River tributary)_1,What is the distance between the Crooked River's confluence with the Songo River and the Songo River's mouth in Sebago Lake?,2.1 miles (3.4 km),1.0 mile (1.6 km),58.0 miles (93.3 km),1.6 miles (2.1 km),3.4 miles (5.5 km),0
Crooked River (Songo River tributary),Crooked River (Songo River tributary)_2,"The Crooked River originates at the outlet of which pond, located in the unorganized territory of South Oxford?",Songo Pond,Brandy Pond,Sebago Pond,Oxford Pond,White Mountain Pond,0
Crooked Run (Catawissa Creek tributary),Crooked Run (Catawissa Creek tributary)_1,What is the approximate length of Crooked Run in miles?,4.4 miles,7.1 miles,11.0 miles,4.24 miles,5.0 miles,0
Crooked Run (Catawissa Creek tributary),Crooked Run (Catawissa Creek tributary)_2,Which of the following rock formations is NOT listed as a main component of Crooked Run's watershed?,Mauch Chunk Formation,Pocono Formation,Catskill Formation,Leck Kill Formation,None of the above,2
Crooked Run (Trent River tributary),Crooked Run (Trent River tributary)_1,What is the order of Crooked Run within the Trent River's drainage system?,2nd order,1st order,3rd order,4th order,5th order,0
Crooked Run (Trent River tributary),Crooked Run (Trent River tributary)_2,Crooked Run is a tributary to which larger river system?,Trent River,Neuse River,Cape Fear River,Pamlico River,Roanoke River,0
Crooked Run (Youghiogheny River tributary),Crooked Run (Youghiogheny River tributary)_1,What is the approximate length of Crooked Run in kilometers?,3.94 km,2.45 km,1.00 km,5.00 km,3.00 km,0
Crooked Run (Youghiogheny River tributary),Crooked Run (Youghiogheny River tributary)_2,Crooked Run is classified as what order of tributary to the Youghiogheny River?,1st order,2nd order,3rd order,4th order,5th order,0
Cross Bayou,Cross Bayou_1,What is the total length of Cross Bayou in kilometers?,61.2 km,38.0 km,13.0 km,24.0 km,15.0 km,0
Cross Bayou,Cross Bayou_2,Which of the following bodies of water is Cross Bayou a tributary of?,Red River,Mississippi River,Cross Lake,Twelve Mile Bayou,Harrison County River,0
Cross Brook (New Jersey),Cross Brook (New Jersey)_1,Cross Brook is a tributary to which larger waterway?,Six Mile Run,Raritan River,Delaware River,Passaic River,Hudson River,0
Cross Brook (New Jersey),Cross Brook (New Jersey)_2,In which two New Jersey counties does Cross Brook primarily flow?,Somerset and Middlesex Counties,Union and Essex Counties,Bergen and Passaic Counties,Mercer and Burlington Counties,Hunterdon and Warren Counties,0
Cross Creek (Cape Fear River tributary),Cross Creek (Cape Fear River tributary)_1,What is the approximate length of Cross Creek in kilometers?,15.61 km,9.70 km,15.00 km,16.00 km,9.00 km,0
Cross Creek (Cape Fear River tributary),Cross Creek (Cape Fear River tributary)_2,Cross Creek is a tributary of which larger river system?,Cape Fear River,Neuse River,Pee Dee River,Roanoke River,New River,0
Cross Creek (Ohio River tributary),Cross Creek (Ohio River tributary)_1,What is the approximate length of Cross Creek in kilometers?,34.94 km,21.71 km,34.9 km,21.7 km,35.0 km,0
Cross Creek (Ohio River tributary),Cross Creek (Ohio River tributary)_2,Cross Creek is a tributary to which major river system?,Ohio River,Mississippi River,Allegheny River,Monongahela River,Kanawha River,0
Cross River (Gunflint Lake),Cross River (Gunflint Lake)_1,What is the primary geographical designation of the Cross River (Gunflint Lake)?,A river of Minnesota,A lake in Minnesota,A tributary of the Mississippi River,A river in Canada,A strait in Minnesota,0
Cross River (Gunflint Lake),Cross River (Gunflint Lake)_2,The Cross River is specifically identified as being located within which U.S. state?,Wisconsin,Minnesota,Michigan,North Dakota,Iowa,1
Cross River (Lake Superior),Cross River (Lake Superior)_1,What is the approximate length of the Cross River in kilometers?,32.8 km,20.4 km,32.0 km,20.8 km,33.2 km,0
Cross River (Lake Superior),Cross River (Lake Superior)_2,The Cross River is a direct tributary of which major North American body of water?,Lake Michigan,Lake Superior,Lake Huron,Lake Ontario,Lake Erie,1
Cross River (Little Fork River tributary),Cross River (Little Fork River tributary)_1,The Cross River is a tributary to which larger river system?,Little Fork River,St. Louis River,Mississippi River,Red River of the North,Rainy River,0
Cross River (Little Fork River tributary),Cross River (Little Fork River tributary)_2,In which U.S. state is the Cross River located?,Wisconsin,Minnesota,North Dakota,Michigan,Iowa,1
Cross River (Maine),Cross River (Maine)_1,What is the approximate length of the Cross River in miles?,5.0 miles,8.0 miles,3.0 miles,10.0 miles,2.5 miles,0
Cross River (Maine),Cross River (Maine)_2,The Cross River serves as the boundary between which two Maine towns for a portion of its course?,Boothbay and Edgecomb,Boothbay and Westport,Edgecomb and Westport,Boothbay and Damariscotta,Edgecomb and Wiscasset,0
Cross River (New York),Cross River (New York)_1,What is the initial directional flow of the Cross River's headwaters before it proceeds westward?,"South, then Southwest, then Northwest","South, then Southeast, then Northeast","North, then Northwest, then Southwest","West, then Southwest, then South","East, then Southeast, then Northeast",0
Cross River (New York),Cross River (New York)_2,Which two reservoirs are directly associated with the Cross River's flow path within the New York City water supply system?,Cross River Reservoir and Muscoot Reservoir,Croton Reservoir and Cross River Reservoir,Muscoot Reservoir and Croton Reservoir,Katonah Reservoir and Muscoot Reservoir,Cross River Reservoir and Katonah Reservoir,0
Cross Run,Cross Run_1,What is the approximate length of Cross Run in kilometers?,1.8 km,1.1 km,2.5 km,0.5 km,1.5 km,0
