river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Brewery Creek,Brewery Creek_2,Brewery Creek empties into which larger river system?,Yuba River,Sacramento River,Feather River,San Joaquin River,American River,1
Brewington Creek,Brewington Creek_1,In which U.S. state is Brewington Creek located?,Arkansas,New Mexico,Oklahoma,Louisiana,Texas,4
Brewington Creek,Brewington Creek_2,What is the primary geographical classification of Brewington Creek?,Bayou,River,Canal,Lake,Stream,4
Brice Creek (Trent River tributary),Brice Creek (Trent River tributary)_1,What is the approximate length of Brice Creek in miles?,13.00 mi,19.68 mi,12.00 mi,12.20 mi,12.23 mi,4
Brice Creek (Trent River tributary),Brice Creek (Trent River tributary)_2,Brice Creek is classified as which order tributary to the Trent River?,1st order,3rd order,4th order,5th order,2nd order,1
Bridenbecker Creek,Bridenbecker Creek_1,In which county is Bridenbecker Creek located?,Montgomery County,Otsego County,Oneida County,Fulton County,Herkimer County,4
Bridenbecker Creek,Bridenbecker Creek_2,Bridenbecker Creek flows into which larger river near Frankfort?,Oswego River,Hudson River,Genesee River,Allegheny River,Mohawk River,4
Bridge Creek (John Day River tributary),Bridge Creek (John Day River tributary)_1,"What was the estimated rainfall intensity at the center of the July 13, 1956 thunderstorm that impacted Bridge Creek?",Approximately 100 mm in 50 minutes,Approximately 12 inches (30 cm) in 50 minutes,Approximately 4 inches (100 mm) in 12 inches,Approximately 4 inches in 13 miles,Approximately 4 inches (100 mm) in 50 minutes,4
Bridge Creek (John Day River tributary),Bridge Creek (John Day River tributary)_2,What is the approximate total area of Bridge Creek's watershed in square miles?,690 square miles,45 square miles,28 square miles,13 square miles,267 square miles,4
Bridger Creek,Bridger Creek_1,Bridger Creek is a stream located in which U.S. state?,Wyoming,North Dakota,Montana,Nebraska,South Dakota,4
Bridger Creek,Bridger Creek_2,The name of Bridger Creek is derived from which historical figure?,Kit Carson,Daniel Boone,Lewis and Clark,Jedediah Smith,Jim Bridger,4
Bridges Branch (Crabtree Creek tributary),Bridges Branch (Crabtree Creek tributary)_1,What is the approximate length of Bridges Branch in kilometers?,1.95 km,1.26 km,3.29 km,2.10 km,2.03 km,4
Bridges Branch (Crabtree Creek tributary),Bridges Branch (Crabtree Creek tributary)_2,Bridges Branch is a tributary to which larger creek?,North Creek,Wake Creek,Branch Creek,South Creek,Crabtree Creek,4
Bridges Creek,Bridges Creek_1,What is the approximate total length of the two upstream branches of Bridges Creek before they merge?,Approximately 20 miles,Approximately 5 miles,Approximately 15 miles,Approximately 25 miles,Approximately 10 miles,4
Bridges Creek,Bridges Creek_2,Where is the confluence of North Bridges Creek and South Bridges Creek located relative to the town of Elijah?,Northwest of Elijah,Northeast of Elijah,Southeast of Elijah,At Elijah,Southwest of Elijah,2
Brier Creek (Savannah River tributary),Brier Creek (Savannah River tributary)_1,What is the approximate distance in kilometers from Brier Creek's confluence with the Savannah River to the town of Sylvania?,123 km,12 km,198 km,50 km,19 km,4
Brier Creek (Savannah River tributary),Brier Creek (Savannah River tributary)_2,"In which U.S. state is Brier Creek located, and what is its primary geographical designation?",Georgia; a tributary of the Ogeechee River,South Carolina; a tributary of the Savannah River,Georgia; a primary river of the state,South Carolina; a primary river of the state,Georgia; a tributary of the Savannah River,4
Briggs Run,Briggs Run_1,At what specific geographical location does Briggs Run discharge into another river?,Flowing into Lake Ontario,At the confluence with the Hudson River,"In the vicinity of Albany, New York","South of Schenectady, New York","Near Yosts, New York",4
Briggs Run,Briggs Run_2,Which larger river system receives the flow of Briggs Run?,The Schoharie Creek,The Hudson River,The Erie Canal,The Sacandaga River,The Mohawk River,4
Bright Angel Creek,Bright Angel Creek_1,Bright Angel Creek originates from which geological feature that emerges from a cliff along the North Kaibab Trail?,North Kaibab Trail,Colorado River,Vishnu Shist,Grand Canyon National Park,Roaring Springs,4
Bright Angel Creek,Bright Angel Creek_2,The confluence of Bright Angel Creek with the Colorado River flows through eroded canyons and debris of which specific geological unit?,North Kaibab Trail,Roaring Springs,The Box,Colorado River,Vishnu Shist,4
Brimstone Creek,Brimstone Creek_1,In which direction does Brimstone Creek primarily flow after originating east of the Village of Sharon Springs?,Southeast,Northeast,Southwest,West,Northwest,4
Brimstone Creek,Brimstone Creek_2,North-northwest of which village does Brimstone Creek discharge into Canajoharie Creek?,Village of Montgomery,Village of Sharon Springs,Village of Schoharie,Village of Canajoharie,Village of Ames,4
Brinker Run (Sewickley Creek tributary),Brinker Run (Sewickley Creek tributary)_1,What is the order of Brinker Run within its watershed hierarchy?,4th order,1st order,3rd order,0th order,2nd order,4
Brinker Run (Sewickley Creek tributary),Brinker Run (Sewickley Creek tributary)_2,What is the approximate length of Brinker Run in miles?,3.41 miles,3.41 kilometers,2.11 miles,5.49 kilometers,5.49 miles,0
Brish Run,Brish Run_1,What is the approximate length of Brish Run in miles?,1.7 miles,0.66 miles,2.4 miles,0.5 miles,1.5 miles,4
Brish Run,Brish Run_2,What is the watershed area of Brish Run in square kilometers?,2.4 km²,1.5 km²,1.7 km²,0.5 km²,0.66 km²,2
Brittain Creek,Brittain Creek_1,In which U.S. county is Brittain Creek located?,Mud Creek County,Brittain County,North Carolina County,James County,Henderson County,4
Brittain Creek,Brittain Creek_2,"What was the former, long-standing misspelling of Brittain Creek's name?",Brittain Creek Stream,Brittain Creek,Brittan Creek,Brittons Creek,Britton Creek,4
Britton Run (East Branch Oil Creek tributary),Britton Run (East Branch Oil Creek tributary)_1,What is the approximate length of Britton Run in miles?,6.80 mi,11.10 mi,7.00 mi,11.00 mi,6.90 mi,4
Britton Run (East Branch Oil Creek tributary),Britton Run (East Branch Oil Creek tributary)_2,Britton Run is a tributary to which larger waterway?,Britton Creek,East Branch Oil Creek,West Branch Oil Creek,Crawford Run,Oil Creek,1
Brixey Creek,Brixey Creek_1,Brixey Creek flows into which larger waterway?,Route N Creek,Missouri River,Ozark River,Brixy River,Spring Creek,4
Brixey Creek,Brixey Creek_2,The headwaters of Brixey Creek are located southwest of which community?,Missouri,Rockbridge,Ozark,Springfield,Brixey,4
Broad Creek (Bogue Sound),Broad Creek (Bogue Sound)_1,Broad Creek empties into which larger estuarine system?,Southern Outer Banks,Atlantic Ocean,Croatan National Forest,Bogue Banks,Bogue Sound,4
Broad Creek (Bogue Sound),Broad Creek (Bogue Sound)_2,Which geographical feature separates Bogue Sound from the Atlantic Ocean in the vicinity of Broad Creek?,Southern Outer Banks,Croatan National Forest,Broad Creek community,Bogue Sound itself,Bogue Banks,4
Broad Creek (Nanticoke River tributary),Broad Creek (Nanticoke River tributary)_1,What is the order of Broad Creek within the Nanticoke River's drainage system?,2nd order,3rd order,5th order,1st order,4th order,4
Broad Creek (Nanticoke River tributary),Broad Creek (Nanticoke River tributary)_2,What is the approximate length of Broad Creek in miles?,6.25 miles,8.00 miles,10.50 miles,15.75 miles,12.87 miles,1
Broad Creek (Susquehanna River tributary),Broad Creek (Susquehanna River tributary)_1,"What is the approximate distance from Broad Creek's origin to the Conowingo Reservoir, measured in kilometers?",40.6 km,17 km,500 km,105 km,27 km,4
Broad Creek (Susquehanna River tributary),Broad Creek (Susquehanna River tributary)_2,Which of the following is NOT listed as a land use within the Broad Creek watershed?,Residential housing,Forest,Urban development,Industrial facilities,Agriculture,2
Broad Hollow Run,Broad Hollow Run_1,What is the approximate length of Broad Hollow Run in miles?,1.04 miles,1.6 miles,2.7 miles,0.5 miles,1.0 mile,4
Broad Hollow Run,Broad Hollow Run_2,Which of the following surficial geology types is NOT mentioned as being in the vicinity of Broad Hollow Run?,Alluvium,Alluvial fan,Glacial outwash,Sandstone,Wisconsinan Till,2
Broad Mouth Branch,Broad Mouth Branch_1,What is the order of the Broad Mouth Branch tributary?,4th order,2nd order,3rd order,5th order,1st order,4
Broad Mouth Branch,Broad Mouth Branch_2,What is the approximate length of the Broad Mouth Branch in miles?,4.33 km,2.69 km,2.69 mi,1.00 mi,4.33 mi,2
Broad River (Carolinas),Broad River (Carolinas)_1,What is the approximate length of the Broad River in miles?,200 miles,240 miles,100 miles,50 miles,150 miles,4
Broad River (Carolinas),Broad River (Carolinas)_2,The Broad River is a primary tributary to which other river?,Neuse River,Atlantic Ocean,Congaree River,Savannah River,Santee River,2
Broad River (South Carolina),Broad River (South Carolina)_1,"What is the approximate length of the bridge that crosses the Broad River, connecting Beaufort and Port Royal with southern Beaufort and Jasper counties?",1.7 kilometers,1.5 miles,2.0 miles,1.9 miles,1.7 miles,4
Broad River (South Carolina),Broad River (South Carolina)_2,"Which river flows into the Broad River at its head, marking the beginning of its tidal channel?",Savannah River,Broad River,Port Royal River,Ogeechee River,Coosawhatchie River,4
Broad Run (Little Muncy Creek tributary),Broad Run (Little Muncy Creek tributary)_1,What is the approximate watershed area of Broad Run in square kilometers?,2.94 km²,6.0 km²,3.7 km²,3.7 miles²,7.6 km²,4
Broad Run (Little Muncy Creek tributary),Broad Run (Little Muncy Creek tributary)_2,Broad Run is classified as which type of fishery?,Salmonid Habitat,Coldwater Fishery,Trout Stream,Mixed Fishery,Warmwater Fishery,1
"Broad Run (Loudoun County, Virginia)","Broad Run (Loudoun County, Virginia)_1",What is the total combined watershed area of Broad Run in Loudoun and Fairfax Counties?,175 km2,67.5 mi2,23.8 mi2,62 km2,91.3 mi2,4
"Broad Run (Loudoun County, Virginia)","Broad Run (Loudoun County, Virginia)_2",Approximately how far northeast of Aldie are the headwaters of Broad Run located?,23.8 miles (62 km),3 miles (4.8 km),67.5 miles (175 km),4.8 miles (3 km),10 miles (16 km),1
Broad Run (Maryland),Broad Run (Maryland)_1,What is the approximate length of Broad Run in miles?,9.8 miles,14.3 miles,7.2 miles,10.5 miles,8.9 miles,4
Broad Run (Maryland),Broad Run (Maryland)_2,Broad Run originates west of which Maryland town before flowing southward?,Bethesda,Rockville,Gaithersburg,Olney,Poolesville,4
Broad Run (Occoquan River tributary),Broad Run (Occoquan River tributary)_1,What is the approximate length of Broad Run in kilometers?,72.3 km,38.0 km,50.5 km,45.8 km,61.2 km,4
Broad Run (Occoquan River tributary),Broad Run (Occoquan River tributary)_2,Broad Run is a tributary of which larger river system?,Rappahannock River,Potomac River,Chesapeake Bay,James River,Occoquan River,4
Broad Run (White Clay Creek tributary),Broad Run (White Clay Creek tributary)_1,What is the approximate distance from the mouth of Broad Run to the point where it receives its last tributary before emptying into White Clay Creek?,A sixteenth of a mile,A quarter of a mile,Half a mile,One mile,An eighth of a mile,4
Broad Run (White Clay Creek tributary),Broad Run (White Clay Creek tributary)_2,In which township is the majority of Broad Run's 4.3-mile course located?,Chester Township,New Garden Township,Kaolin Township,Landenberg Township,London Britain Township,1
Broadkill River,Broadkill River_1,What is the approximate distance inland from Delaware Bay that the Broadkill River flows parallel to the shoreline before entering the bay?,Approximately 110 square miles (280 km2),Approximately one and a quarter miles (2.0 km),Approximately 13.3 miles (21.4 km),Approximately 280 km,Approximately two miles (3.2 km),4
Broadkill River,Broadkill River_2,"The Broadkill River originates from Wagamons Pond, which is fed by two tributaries. What are the names of these two tributaries?",Wagamons Branch and Milton Branch,Prime Hook Branch and Green Hill Branch,Delaware Branch and Atlantic Branch,Canal Branch and Bay Branch,Ingram Branch and Pemberton Branch,4
Broadstreet Hollow Creek,Broadstreet Hollow Creek_1,Broadstreet Hollow Creek originates in which New York county?,Schoharie County,Ulster County,Albany County,Delaware County,Greene County,4
Broadstreet Hollow Creek,Broadstreet Hollow Creek_2,"After flowing south through Shandaken, Broadstreet Hollow Creek converges with which other creek?",Mohawk River,Catskill Creek,Wallkill River,Hudson River,Esopus Creek,4
Broadview Creek,Broadview Creek_1,What is the approximate length of Broadview Creek in meters?,260 m,2600 m,79 m,7900 m,790 m,4
Broadview Creek,Broadview Creek_2,Broadview Creek originates from headwaters located near which road?,Eastshire Road N.W.,Southshire Road N.W.,Northshire Road S.E.,Westshire Road N.W.,Northshire Road N.W.,4
Brock Creek (Buck Creek tributary),Brock Creek (Buck Creek tributary)_1,At what river mile does Brock Creek join Buck Creek?,0.50 river mile,0.06 river mile,6.0 river miles,1.60 river miles,0.60 river mile,4
Brock Creek (Buck Creek tributary),Brock Creek (Buck Creek tributary)_2,In which township does Brock Creek originate?,Pennsylvania,Bucks County,Lower Makefield Township,Buck Creek Township,Yardley Borough,2
Brockonbridge Gut,Brockonbridge Gut_1,What is the order of the Brockonbridge Gut tributary?,4th order,1st order,3rd order,5th order,2nd order,4
Brockonbridge Gut,Brockonbridge Gut_2,Brockonbridge Gut is the only stream of its name in which country?,United Kingdom,Canada,Mexico,Australia,United States,4
Broglen River,Broglen River_1,"What is the approximate north-south distance, in miles, covered by the Broglen River from its origin to its discharge point?",86.7 miles,12.3 miles,19.8 miles,34.1 miles,5.1 miles,4
Broglen River,Broglen River_2,The Broglen River discharges into the Mulberry Fork River at a longitude of approximately:,34°03′43″N,34°08′41″N,86°41′46″W,12.3°W,86°46′07″W,2
Broke Leg Creek,Broke Leg Creek_1,What was the approximate acreage of the land originally established as Broke Leg Falls State Park?,10 acres,16 acres,12 acres,18 acres,14 acres,4
Broke Leg Creek,Broke Leg Creek_2,What was the estimated cost to repair the bridge and stairs at Broke Leg Falls after the 2012 tornado?,"Over $35,000","Under $38,000","Exactly $38,000","Over $40,000","Over $38,000",4
Broken Kettle Creek,Broken Kettle Creek_1,"What is the approximate distance, in miles, from the confluence of Broken Kettle Creek with the Big Sioux River to the town of Jefferson, South Dakota?",Approximately forty-three miles,Approximately twenty-five miles,Approximately forty kilometers,Approximately two miles,Approximately three miles,4
Broken Kettle Creek,Broken Kettle Creek_2,"If Broken Kettle Creek flows generally south by southwest, and its source is in Preston Township, in which township does it meet the Big Sioux River?",Sioux Township,Plymouth Township,Hancock Township,Jefferson Township,Preston Township,2
Broken Sword Creek,Broken Sword Creek_1,What is the approximate length of Broken Sword Creek in kilometers?,65.9 km,37.1 km,45.2 km,30.1 km,59.7 km,4
Broken Sword Creek,Broken Sword Creek_2,Broken Sword Creek is a tributary of which larger river?,Ohio River,Wyandot River,Crawford River,Maumee River,Sandusky River,4
Brokenstraw Creek,Brokenstraw Creek_1,What is the approximate distance in miles between the Brokenstraw Creek-Allegheny River confluence at Buckaloons and the city of Warren?,59.7 miles,14 miles,37.1 miles,22 miles,8 miles,4
Brokenstraw Creek,Brokenstraw Creek_2,Which of the following fish species is NOT explicitly mentioned as being commonly caught in Brokenstraw Creek or its tributaries?,Smallmouth bass,Walleye,Northern pike,Brown trout,Brook trout,1
Bronx River,Bronx River_1,What is the approximate drainage area of the Bronx River in square miles?,16.5 square miles,24 square miles,99 square miles,42.1 square miles,38.4 square miles,4
Bronx River,Bronx River_2,"Before the construction of the Kensico Dam, where did the Bronx River originally rise?","In the East River, a tidal strait",In the northern end of The Bronx,Between the Harlem River and Bronck's river,Near the Bronx Zoo,In what is now the Kensico Reservoir,4
Brookfield Creek,Brookfield Creek_1,Brookfield Creek's name originates from what geographical feature?,A former waterway,A defunct geological formation,A historical settlement,An abandoned agricultural area,An extinct town,4
Brookfield Creek,Brookfield Creek_2,In which U.S. state is Brookfield Creek located?,Wyoming,South Dakota,Montana,Nebraska,North Dakota,1
Brooks Creek (Haw River tributary),Brooks Creek (Haw River tributary)_1,What is the approximate length of Brooks Creek in miles?,9.03 miles,10.93 miles,7.69 miles,6.97 miles,6.79 miles,4
Brooks Creek (Haw River tributary),Brooks Creek (Haw River tributary)_2,Brooks Creek is classified as which order tributary to the Haw River?,5th order,4th order,3rd order,1st order,2nd order,2
Brookwood Creek,Brookwood Creek_1,At what specific geographical feature does Brookwood Creek discharge into Otsego Lake?,Creekmouth Bend,Cooperstown Inlet,Otsego North Shore,Lakeview Outlet,Brookwood Point,4
Brookwood Creek,Brookwood Creek_2,In which county is Brookwood Creek primarily located?,Schoharie County,Otsego County,Delaware County,Herkimer County,Chenango County,1
Broro River,Broro River_1,What is the approximate length of the Broro River in miles?,3.0 miles,4.0 miles,2.0 miles,1.5 miles,2.5 miles,4
Broro River,Broro River_2,The Broro River is a tidal arm of which larger river?,St. Johns River,Sapelo River,Altamaha River,Savannah River,Ogeechee River,1
Brown Creek,Brown Creek_1,What is the approximate total area of the Brown Creek watershed in square kilometers?,2.79 km²,5.0 km²,3.1 km²,5.0 m²,7.2 km²,4
Brown Creek,Brown Creek_2,Brown Creek is designated with which two specific fishery classifications?,Estuarine Fishery and Anadromous Fishery,Coldwater Fishery and Migratory Fishery,Trout Fishery and Bass Fishery,Coldwater Fishery and Warmwater Fishery,Warmwater Fishery and Recreational Fishery,1
Brown Creek (Pee Dee River tributary),Brown Creek (Pee Dee River tributary)_1,Brown Creek originates near which South Carolina town before flowing northeast into North Carolina?,Anson,Chesterfield,Wadesboro,Union,Pageland,4
Brown Creek (Pee Dee River tributary),Brown Creek (Pee Dee River tributary)_2,Which of the following is NOT a county drained by Brown Creek?,"Marlboro County, South Carolina","Chesterfield County, South Carolina","Anson County, North Carolina","Union County, North Carolina","Union County, North Carolina",0
Brown's Creek (St. Croix River tributary),Brown's Creek (St. Croix River tributary)_1,"What is the approximate distance, in miles, from Brown's Creek's origin to its confluence with the St. Croix River?",15.6 miles,5.5 miles,4.85 miles,7.25 miles,9.7 miles,4
Brown's Creek (St. Croix River tributary),Brown's Creek (St. Croix River tributary)_2,Brown's Creek flows south for approximately what fraction of its total length before turning east?,One-third of its length,One-quarter of its length,Two-thirds of its length,Three-quarters of its length,Half its length,4
Browneller Run,Browneller Run_1,What is the order of Browneller Run within the United States river system?,4th order,1st order,3rd order,5th order,2nd order,4
Browneller Run,Browneller Run_2,Browneller Run is a tributary to which larger river?,Ohio River,Allegheny River,Monongahela River,Susquehanna River,Youghiogheny River,4
Brownington Branch (Willoughby River tributary),Brownington Branch (Willoughby River tributary)_1,In which U.S. state does the Brownington Branch primarily flow?,Maine,New Hampshire,New York,Massachusetts,Vermont,4
Brownington Branch (Willoughby River tributary),Brownington Branch (Willoughby River tributary)_2,Which of the following municipalities does the Brownington Branch traverse?,Westmoreland,Brownington,Willoughby,Concord,Orleans,1
Browns Branch (Murderkill River tributary),Browns Branch (Murderkill River tributary)_1,What is the approximate length of Browns Branch in kilometers?,10.53 km,10.27 km,16.00 km,16.27 km,16.53 km,4
Browns Branch (Murderkill River tributary),Browns Branch (Murderkill River tributary)_2,Browns Branch is classified as what order tributary to the Murderkill River?,1st order,3rd order,4th order,5th order,2nd order,1
Browns Canyon Wash,Browns Canyon Wash_1,What is the approximate length of Browns Canyon Wash in kilometers?,10.6 km,10.3 km,16.0 km,1.66 km,16.6 km,4
Browns Canyon Wash,Browns Canyon Wash_2,Browns Canyon Wash is a tributary to which major river system?,Browns Canyon Creek,Santa Susana River,San Fernando River,Western Valley River,Los Angeles River,4
Browns Creek (Cape Fear River tributary),Browns Creek (Cape Fear River tributary)_1,What is the order of Browns Creek within the river system it belongs to?,4th order,1st order,3rd order,0th order,2nd order,4
Browns Creek (Cape Fear River tributary),Browns Creek (Cape Fear River tributary)_2,Browns Creek is a tributary to which larger river system?,Yadkin River,Neuse River,Tar River,Roanoke River,Cape Fear River,4
Browns Creek (Huntsville Creek tributary),Browns Creek (Huntsville Creek tributary)_1,What is the approximate total area of the Browns Creek watershed in square miles?,10.0 square miles,5.8 square miles,3.6 square miles,4.0 square miles,3.86 square miles,4
Browns Creek (Huntsville Creek tributary),Browns Creek (Huntsville Creek tributary)_2,Browns Creek is a tributary of which larger creek?,Jackson Creek,Huntsville Creek,Lehman Creek,Sandstone Creek,Toby Creek,1
Browns Creek (South Carolina),Browns Creek (South Carolina)_1,Browns Creek is located in which U.S. state?,Virginia,North Carolina,Georgia,Tennessee,South Carolina,4
Browns Creek (South Carolina),Browns Creek (South Carolina)_2,The naming of Browns Creek is attributed to which historical figure?,Thomas Brown,William Brown,John Brown,Samuel Brown,Gabriel Brown,4
Browns Creek (Utah),Browns Creek (Utah)_1,In which U.S. county is Browns Creek located?,Washington County,Kane County,San Juan County,Iron County,Garfield County,4
Browns Creek (Utah),Browns Creek (Utah)_2,What historical figure is Browns Creek named after?,Colonel Davis,Sergeant Smith,Major Johnson,General Miller,Captain Brown,4
Browns Dan River,Browns Dan River_1,In which U.S. state is the Browns Dan River located?,Maryland,North Carolina,West Virginia,Tennessee,Virginia,4
Browns Dan River,Browns Dan River_2,The Browns Dan River is situated within which country?,United Kingdom,United States,Mexico,Australia,Canada,1
Browns River (New Hampshire),Browns River (New Hampshire)_1,What is the approximate area of the salt marsh that the Browns River is a part of?,"Around 3,000 acres",Approximately 2.9 miles (4.7 km),Less than 10 km2,"Over 4,000 acres (16 km2)","Over 3,800 acres (15 km2)",4
Browns River (New Hampshire),Browns River (New Hampshire)_2,The Browns River forms a boundary between which two towns for most of its length?,New Hampshire and Seabrook,Seabrook and Hampton Harbor,Hampton Falls and Hampton River,Seabrook and U.S. Route 1,Seabrook and Hampton Falls,4
Browns River (Vermont),Browns River (Vermont)_1,What is the approximate distance in miles from the Browns River's source on Mount Mansfield to its mouth in Fairfax?,73 miles,32 miles,44 miles,20 kilometers,20 miles,4
Browns River (Vermont),Browns River (Vermont)_2,Which of the following towns does the Browns River NOT pass through before emptying into the Lamoille River?,Westford,Jericho,Essex,Stowe,Underhill,3
Browns Run (Peters Run tributary),Browns Run (Peters Run tributary)_1,What is the order of Browns Run within its drainage system?,4th order,1st order,3rd order,0th order,2nd order,4
Browns Run (Peters Run tributary),Browns Run (Peters Run tributary)_2,What is the approximate length of Browns Run in miles?,1.91 miles,1.91 kilometers,2.5 miles,3.07 kilometers,3.07 miles,0
Browns Run (South Fork Tenmile Creek tributary),Browns Run (South Fork Tenmile Creek tributary)_1,What percentage of the Browns Run watershed is characterized by agricultural land use?,100%,61%,39%,69%,31%,4
Browns Run (South Fork Tenmile Creek tributary),Browns Run (South Fork Tenmile Creek tributary)_2,In which direction does Browns Run generally flow?,Northeast,Northwest,Southwest,East-northeast,South-southeast,4
Brule Creek,Brule Creek_1,Brule Creek is named after which indigenous group?,Cheyenne People,Sioux Tribe,Lakota Nation,Arapaho Tribe,Brulé Indians,4
Brule Creek,Brule Creek_2,In which U.S. state is Brule Creek located?,Wyoming,South Dakota,Montana,Nebraska,North Dakota,1
Brule River,Brule River_1,What is the approximate length of the Brule River that is suitable for canoeing?,Approximately 45 miles,Approximately 84.2 km,Approximately 52.3 miles,Approximately 46 miles,Approximately 72 km,4
Brule River,Brule River_2,At what approximate latitude and longitude does the Brule River join the Michigamme River?,45°57′00″N 88°11′00″W,45°57′12″N 88°11′46″W,46°03′00″N 88°51′00″W,46°00′00″N 88°30′00″W,46°02′23″N 88°50′59″W,1
Brule River (Minnesota),Brule River (Minnesota)_1,What is the approximate total length of the Brule River in miles?,65.0 miles,23.0 miles,14.0 miles,54.4 miles,40.4 miles,4
Brule River (Minnesota),Brule River (Minnesota)_2,In which state park does a significant portion of the Brule River disappear into 'the Devil's Kettle' pothole?,Boundary Waters Canoe Area Wilderness,Itasca State Park,Judge C. R. Magney State Park,Grand Marais State Park,Voyageurs National Park,2
Bruneau River,Bruneau River_1,What is the maximum depth of the canyon carved by the Bruneau River?,370 feet (113 m),40 miles (64 km),153 miles (246 km),64 miles (103 km),"1,200 feet (370 m)",4
Bruneau River,Bruneau River_2,Which mountain range forms the southeastern boundary of the Bruneau River's drainage basin?,Jarbidge Mountains,Chalk Hills,Bruneau Plateau,Snake River Range,Owyhee Mountains,0
Bruner Run,Bruner Run_1,What is the order of Bruner Run within the United States stream network?,4th order,2nd order,3rd order,0th order,1st order,4
Bruner Run,Bruner Run_2,Bruner Run is a tributary to which larger river system?,Ohio River,Allegheny River,Monongahela River,Susquehanna River,Youghiogheny River,4
Brunswick River (Georgia),Brunswick River (Georgia)_1,What is the approximate length of the Brunswick River in kilometers?,5 km,6 km,16 km,12 km,10 km,4
Brunswick River (Georgia),Brunswick River (Georgia)_2,The Brunswick River terminates its eastward flow into which strait?,Jekyll Island Sound,Turtle River,South Brunswick River,Glynn County Strait,St. Simons Sound,4
Brunswick River (North Carolina),Brunswick River (North Carolina)_1,The Brunswick River originates as an offshoot of which larger river system?,Yadkin River,Neuse River,Roanoke River,Pee Dee River,Cape Fear River,4
Brunswick River (North Carolina),Brunswick River (North Carolina)_2,What is the approximate length of the Brunswick River in miles?,12.4 miles,3.1 miles,6.2 miles,5.0 miles,10.0 miles,2
Brush Brook,Brush Brook_1,Brush Brook empties into which larger river system?,Hudson River,Delaware River,Susquehanna River,Mohawk River,Little Delaware River,4
Brush Brook,Brush Brook_2,In which New York town does Brush Brook converge with its receiving water body?,Franklin,Delhi,Walton,Bloomville,Bovina Center,4
Brush Creek (Banister River tributary),Brush Creek (Banister River tributary)_1,What is the order of Brush Creek as a tributary to the Banister River?,1st order,2nd order,4th order,5th order,3rd order,4
Brush Creek (Banister River tributary),Brush Creek (Banister River tributary)_2,What is the approximate length of Brush Creek in kilometers?,3.12 km,8.08 km,13.10 km,16.16 km,5.02 km,1
Brush Creek (Blue River tributary),Brush Creek (Blue River tributary)_1,"Brush Creek's total length is approximately what fraction of the distance from its source to its confluence with the Blue River, given its length and the approximate distance it travels through two counties?",10.5 miles / 16.9 km (approximate),10.5 miles / 10.5 miles,16.9 km / 16.9 km,16.9 km / 10.5 miles,10.5 miles / 16.9 km,4
Brush Creek (Blue River tributary),Brush Creek (Blue River tributary)_2,"Considering its watershed, what is the most downstream major river system that Brush Creek ultimately contributes to?",Kansas River,Missouri River,Mississippi River,Ohio River,Blue River,2
Brush Creek (Bryant Creek tributary),Brush Creek (Bryant Creek tributary)_1,What is the approximate elevation difference between Brush Creek's source and its confluence with Bryant Creek?,700 feet,692 feet,1404 feet,800 feet,712 feet,4
Brush Creek (Bryant Creek tributary),Brush Creek (Bryant Creek tributary)_2,How far east of Gentryville does Brush Creek cross Missouri Route 14?,Approximately 1 mile,Approximately 1.5 miles,Approximately 2.5 miles,Approximately 0.75 miles,Approximately 0.5 miles,1
Brush Creek (Connoquenessing Creek tributary),Brush Creek (Connoquenessing Creek tributary)_1,What percentage of Brush Creek's watershed is comprised of forest cover?,58%,35%,65%,77%,42%,4
Brush Creek (Connoquenessing Creek tributary),Brush Creek (Connoquenessing Creek tributary)_2,"If Brush Creek flows northwest for 21.08 miles, what is its approximate length in kilometers?",13.09 km,21.08 km,55.00 km,42.00 km,33.92 km,4
Brush Creek (Deep River tributary),Brush Creek (Deep River tributary)_1,Brush Creek is classified as a 3rd order tributary. What is its total length in miles?,23.00 mi,37.16 mi,3.00 mi,37.09 mi,23.09 mi,4
Brush Creek (Deep River tributary),Brush Creek (Deep River tributary)_2,Brush Creek serves as a tributary to which larger river system?,Randolph River,Brush River,Chatham River,North River,Deep River,4
Brush Creek (Mercer County),Brush Creek (Mercer County)_1,"What is the approximate width of Brush Creek at the site of its most notable feature, Brush Creek Falls, under varying water levels?",Less than 15 meters,Exactly 25 feet (7.6 m),Approximately 124 acres (50 ha),Around 595 meters,50 feet (15 m) or more,4
Brush Creek (Mercer County),Brush Creek (Mercer County)_2,"Brush Creek terminates in the Bluestone River near Eads Mill, West Virginia. What is the elevation of Brush Creek Falls, a prominent feature of Brush Creek?",50 feet (15 m),25 ft (7.6 m),124 acres (50 ha),7.6 meters,"1,952 ft (595 m)",4
Brush Creek (Minnesota),Brush Creek (Minnesota)_1,"Brush Creek, a stream in Minnesota, is located within which county?",Waseca County,Blue Earth County,Martin County,Freeborn County,Faribault County,4
Brush Creek (Minnesota),Brush Creek (Minnesota)_2,The naming of Brush Creek is attributed to what geographical characteristic along its banks?,Tall grass,Rocky outcrops,Sandy soil,Steep cliffs,Dense brush,4
Brush Creek (Reedy Fork tributary),Brush Creek (Reedy Fork tributary)_1,What is the approximate length of Brush Creek in miles?,8.25 miles,13.12 miles,8.00 miles,7.90 miles,8.15 miles,4
